Automaker,Automaker_ID,Genmodel,Genmodel_ID
AC,1,Cobra,1_1
Abarth,2,124 Spider,2_1
Abarth,2,500,2_2
Abarth,2,500C,2_3
Abarth,2,595,2_4
Abarth,2,595C,2_5
Abarth,2,695,2_6
Abarth,2,695C,2_7
Abarth,2,Grande Punto,2_8
Abarth,2,Punto Evo,2_9
Aixam,3,Crossline,3_1
Aixam,3,400,3_2
Aixam,3,500,3_3
Aixam,3,a751,3_4
Aixam,3,coupe,3_5
Aixam,3,crossover,3_6
Aixam,3,mega,3_7
Aixam,3,scouty,3_8
Alfa Romeo,4,147,4_1
Alfa Romeo,4,156,4_2
Alfa Romeo,4,156 Sportwagon,4_3
Alfa Romeo,4,159,4_4
Alfa Romeo,4,159 Sportwagon,4_5
Alfa Romeo,4,166,4_6
Alfa Romeo,4,4C,4_7
Alfa Romeo,4,8C,4_8
Alfa Romeo,4,Brera,4_9
Alfa Romeo,4,Giulia,4_10
Alfa Romeo,4,Giulietta,4_11
Alfa Romeo,4,GT,4_12
Alfa Romeo,4,GTV,4_13
Alfa Romeo,4,MiTo,4_14
Alfa Romeo,4,Spider,4_15
Alfa Romeo,4,Stelvio,4_16
Alfa Romeo,4,SZ,4_17
Alfa Romeo,4,33,4_18
Ariel,5,Atom,5_1
Aston Martin,6,Cygnet,6_1
Aston Martin,6,DB11,6_2
Aston Martin,6,DB7,6_3
Aston Martin,6,DB9,6_4
Aston Martin,6,DBS,6_5
Aston Martin,6,Rapide,6_6
Aston Martin,6,Rapide S,6_7
Aston Martin,6,Vanquish,6_8
Aston Martin,6,Vantage,6_9
Aston Martin,6,Virage,6_10
Aston Martin,6,Vulcan,6_11
Aston Martin,6,DB5,6_12
Audi,7,A1,7_1
Audi,7,A2,7_2
Audi,7,A3,7_3
Audi,7,A3 Cabriolet,7_4
Audi,7,A4,7_5
Audi,7,A4 Allroad,7_6
Audi,7,A4 Avant,7_7
Audi,7,A4 Cabriolet,7_8
Audi,7,A5,7_9
Audi,7,A5 Cabriolet,7_10
Audi,7,A6,7_11
Audi,7,A7,7_15
Audi,7,A8,7_16
Audi,7,Allroad,7_17
Audi,7,Q2,7_18
Audi,7,Q3,7_19
Audi,7,Q5,7_20
Audi,7,Q7,7_21
Audi,7,quattro,7_22
Audi,7,R8,7_23
Audi,7,RS Q3,7_24
Audi,7,RS3,7_25
Audi,7,RS4,7_26
Audi,7,RS4 Avant,7_27
Audi,7,RS4 Cabriolet,7_28
Audi,7,RS4 Saloon,7_29
Audi,7,RS5,7_30
Audi,7,RS6,7_31
Audi,7,RS6 Avant,7_32
Audi,7,RS7,7_33
