Maker,Genmodel,Genmodel_ID,Year,Entry_price
Abarth,124 Spider,2_1,2016,29365
Abarth,124 Spider,2_1,2017,26665
Abarth,124 Spider,2_1,2018,26665
Abarth,124 Spider,2_1,2019,29515
Abarth,500,2_2,2009,13400
Abarth,500,2_2,2010,13945
Abarth,500,2_2,2011,13945
Abarth,500,2_2,2012,13750
Abarth,500,2_2,2013,13975
Abarth,500,2_2,2014,13975
Abarth,500,2_2,2015,14325
Abarth,500,2_2,2016,14325
Abarth,500C,2_3,2010,17290
Abarth,500C,2_3,2011,16636
Abarth,500C,2_3,2012,16636
Abarth,500C,2_3,2013,15775
Abarth,500C,2_3,2014,15775
Abarth,500C,2_3,2015,16325
Abarth,500C,2_3,2016,16325
Abarth,595,2_4,2012,17500
Abarth,595,2_4,2013,17675
Abarth,595,2_4,2014,14425
Abarth,595,2_4,2015,14425
Abarth,595,2_4,2016,14425
Abarth,595,2_4,2017,14425
Abarth,595,2_4,2018,15255
Abarth,695,2_6,2016,20105
Abarth,695,2_6,2017,20105
Abarth,695,2_6,2018,20105
Abarth,Grande Punto,2_8,2008,13355
Abarth,Grande Punto,2_8,2009,13355
Abarth,Grande Punto,2_8,2010,14195
Abarth,Grande Punto,2_8,2011,14195
Abarth,Punto Evo,2_9,2010,16320
Abarth,Punto Evo,2_9,2011,16320
Abarth,Punto Evo,2_9,2012,16662
Abarth,Punto Evo,2_9,2013,16662
Abarth,Punto Evo,2_9,2014,16662
Alfa Romeo,147,4_1,2001,12805
Alfa Romeo,147,4_1,2002,12995
Alfa Romeo,147,4_1,2003,13120
Alfa Romeo,147,4_1,2004,13152
Alfa Romeo,147,4_1,2005,13152
Alfa Romeo,147,4_1,2006,13462
Alfa Romeo,147,4_1,2007,13195
Alfa Romeo,147,4_1,2008,13195
Alfa Romeo,147,4_1,2009,13195
Alfa Romeo,147,4_1,2010,14090
Alfa Romeo,Giulia,4_10,2016,28995
Alfa Romeo,Giulia,4_10,2017,28995
Alfa Romeo,Giulia,4_10,2018,29620
Alfa Romeo,Giulietta,4_11,2010,16815
Alfa Romeo,Giulietta,4_11,2011,16815
Alfa Romeo,Giulietta,4_11,2012,17570
Alfa Romeo,Giulietta,4_11,2013,17570
Alfa Romeo,Giulietta,4_11,2014,17570
Alfa Romeo,Giulietta,4_11,2015,18040
Alfa Romeo,Giulietta,4_11,2016,18250
Alfa Romeo,Giulietta,4_11,2017,18500
Alfa Romeo,Giulietta,4_11,2018,19460
Alfa Romeo,GT,4_12,2004,20802
Alfa Romeo,GT,4_12,2005,21302
Alfa Romeo,GT,4_12,2006,19737
Alfa Romeo,GT,4_12,2007,16725
Alfa Romeo,GT,4_12,2008,16725
Alfa Romeo,GT,4_12,2009,18317
Alfa Romeo,GT,4_12,2010,19720
Alfa Romeo,GT,4_12,2011,19720
Alfa Romeo,GTV,4_13,1998,21769
Alfa Romeo,GTV,4_13,1999,22008
Alfa Romeo,GTV,4_13,2000,19313
Alfa Romeo,GTV,4_13,2001,19313
Alfa Romeo,GTV,4_13,2002,19535
Alfa Romeo,GTV,4_13,2003,19985
Alfa Romeo,GTV,4_13,2004,20182
Alfa Romeo,GTV,4_13,2005,20182
Alfa Romeo,MiTo,4_14,2009,10570
Alfa Romeo,MiTo,4_14,2010,11770
Alfa Romeo,MiTo,4_14,2011,11770
Alfa Romeo,MiTo,4_14,2012,12120
Alfa Romeo,MiTo,4_14,2013,12445
Alfa Romeo,MiTo,4_14,2014,12445
Alfa Romeo,MiTo,4_14,2015,12615
Alfa Romeo,MiTo,4_14,2016,12615
Alfa Romeo,MiTo,4_14,2017,12905
Alfa Romeo,MiTo,4_14,2018,12905
Alfa Romeo,Spider,4_15,1998,23156
Alfa Romeo,Spider,4_15,1999,23409
Alfa Romeo,Spider,4_15,2000,19812
Alfa Romeo,Spider,4_15,2001,19812
Alfa Romeo,Spider,4_15,2002,19930
Alfa Romeo,Spider,4_15,2003,20120
Alfa Romeo,Spider,4_15,2004,20592
Alfa Romeo,Spider,4_15,2005,20592
Alfa Romeo,Spider,4_15,2006,25767
Alfa Romeo,Spider,4_15,2007,25235
Alfa Romeo,Spider,4_15,2008,25235
Alfa Romeo,Spider,4_15,2009,25109
Alfa Romeo,Spider,4_15,2010,26725
Alfa Romeo,Spider,4_15,2011,26725
Alfa Romeo,Stelvio,4_16,2017,33775
Alfa Romeo,Stelvio,4_16,2018,33775
Alfa Romeo,156,4_2,1998,17423
Alfa Romeo,156,4_2,1999,13695
Alfa Romeo,156,4_2,2000,13695
Alfa Romeo,156,4_2,2001,13695
Alfa Romeo,156,4_2,2002,14295
Alfa Romeo,156,4_2,2003,14295
Alfa Romeo,156,4_2,2004,14612
Alfa Romeo,156,4_2,2005,14612
Alfa Romeo,156,4_2,2006,17247
Alfa Romeo,159,4_4,2006,18347
Alfa Romeo,159,4_4,2007,18335
Alfa Romeo,159,4_4,2008,18335
Alfa Romeo,159,4_4,2009,18270
Alfa Romeo,159,4_4,2010,18270
Alfa Romeo,159,4_4,2011,20205
Alfa Romeo,159,4_4,2012,22330
Alfa Romeo,166,4_6,1998,23196
Alfa Romeo,166,4_6,1999,21696
Alfa Romeo,166,4_6,2000,19796
Alfa Romeo,166,4_6,2001,20230
Alfa Romeo,166,4_6,2002,20230
Alfa Romeo,166,4_6,2003,20635
Alfa Romeo,166,4_6,2004,20635
Alfa Romeo,166,4_6,2005,20635
Alfa Romeo,166,4_6,2006,21552
Alfa Romeo,4C,4_7,2014,44765
Alfa Romeo,4C,4_7,2015,44765
Alfa Romeo,4C,4_7,2016,51265
Alfa Romeo,4C,4_7,2017,52265
Alfa Romeo,4C,4_7,2018,52265
Alfa Romeo,Brera,4_9,2006,22572
Alfa Romeo,Brera,4_9,2007,22572
Alfa Romeo,Brera,4_9,2008,22572
Alfa Romeo,Brera,4_9,2009,23152
Alfa Romeo,Brera,4_9,2010,24725
