Maker,Genmodel,Genmodel_ID,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
ABARTH,ABARTH 124,2_1,0,19,27,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ABARTH,ABARTH 500,2_2,0,0,1,2,66,717,762,545,763,882,915,766,0,0,0,0,0,0,0,0
ABARTH,ABARTH 595,2_4,2144,2866,3907,3295,3132,1612,516,491,165,0,0,0,0,0,0,0,0,0,0,0
ABARTH,ABARTH 695,2_6,45,65,270,114,29,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0
ABARTH,ABARTH PUNTO,2_9,0,0,0,0,0,0,56,75,90,120,97,172,74,0,0,0,0,0,0,0
ABARTH,ABARTH SPIDER,2_1,0,223,777,409,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ACURA,ACURA TL,100_1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0
AIXAM,AIXAM 500,3_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,4,0
AIXAM,AIXAM A751,3_4,0,0,0,0,0,0,0,0,0,0,1,4,13,10,23,13,0,0,0,0
AIXAM,AIXAM COUPE,3_5,0,0,0,0,3,5,6,3,1,0,0,0,0,0,0,0,0,0,0,0
AIXAM,AIXAM CROSSLINE,3_1,0,0,0,6,15,16,10,20,31,69,39,50,39,38,0,0,0,0,0,0
AIXAM,AIXAM CROSSOVER,3_6,0,2,32,51,50,43,48,34,25,0,0,0,0,0,0,0,0,0,0,0
AIXAM,AIXAM MEGA,3_7,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0
AIXAM,AIXAM SCOUTY,3_8,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,0,0,0,0
ALFA ROMEO,ALFA ROMEO 147,4_1,0,0,0,0,0,0,0,0,0,0,5,268,744,652,497,473,377,466,339,140
ALFA ROMEO,ALFA ROMEO 156,4_2,0,0,0,0,0,0,0,0,0,0,0,0,6,31,21,312,383,373,286,215
ALFA ROMEO,ALFA ROMEO 159,4_4,0,3,0,0,0,0,1,0,95,517,813,1104,1218,1407,564,1,0,0,0,0
ALFA ROMEO,ALFA ROMEO 166,4_6,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,53,42,28,29,35
ALFA ROMEO,ALFA ROMEO 4C,4_7,0,2,13,106,116,68,84,0,0,0,0,0,0,0,0,0,0,0,0,0
ALFA ROMEO,ALFA ROMEO 8C,4_8,0,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,0,0
ALFA ROMEO,ALFA ROMEO BRERA,4_9,0,0,0,0,0,0,0,0,0,25,103,445,548,483,503,0,0,0,0,0
ALFA ROMEO,ALFA ROMEO GIULIA,4_10,676,1392,1427,1849,159,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0
ALFA ROMEO,ALFA ROMEO GIULIETTA,4_11,524,564,834,1486,2763,3019,3206,3242,3721,6026,2084,0,0,0,0,0,0,0,0,0
ALFA ROMEO,ALFA ROMEO GT,4_12,0,0,0,0,0,0,0,0,0,12,116,174,734,800,480,427,206,0,0,0
ALFA ROMEO,ALFA ROMEO GTV,4_13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,50,73,118,143
ALFA ROMEO,ALFA ROMEO MITO,4_14,0,36,378,706,1444,1592,1734,1801,2521,3188,3977,4797,19,0,0,0,0,0,0,0
ALFA ROMEO,ALFA ROMEO SPIDER,4_15,0,0,0,0,0,0,0,1,0,19,103,114,518,497,9,47,53,62,69,184
ALFA ROMEO,ALFA ROMEO STELVIO,4_16,679,1159,1023,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALPINE,ALPINE A110,101_1,102,149,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,ASTON MARTIN CYGNET,6_1,0,0,0,0,0,0,12,12,45,61,4,0,0,0,0,0,0,0,0,0
ASTON MARTIN,ASTON MARTIN DB11,6_2,150,326,404,667,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,ASTON MARTIN DB5,6_12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ASTON MARTIN,ASTON MARTIN DB7,6_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,163,193,234
ASTON MARTIN,ASTON MARTIN DB9,6_4,0,0,0,28,140,24,111,149,64,75,158,215,399,550,510,901,225,0,0,0
ASTON MARTIN,ASTON MARTIN DB9O,6_4,0,0,0,0,11,159,57,0,0,0,0,0,0,0,0,0,0,0,0,0
ASTON MARTIN,ASTON MARTIN DBS,6_5,202,287,52,0,0,0,0,1,100,124,149,151,75,3,0,0,0,0,0,0
ASTON MARTIN,ASTON MARTIN RAPIDE,6_6,15,38,35,48,46,94,86,97,63,112,130,0,0,0,0,0,0,0,0,0
ASTON MARTIN,ASTON MARTIN VANQUISH,6_8,0,37,140,181,134,173,88,6,0,0,0,0,3,49,24,54,6,1,1,0
ASTON MARTIN,ASTON MARTIN VANTAGE,6_9,191,688,421,243,334,310,301,278,278,241,285,417,526,753,967,90,0,0,1,0
ASTON MARTIN,ASTON MARTIN VIRAGE,6_10,0,0,0,0,0,0,0,3,94,77,0,0,0,0,0,0,0,0,0,0
AUDI,AUDI A1,7_1,13292,19976,19038,21212,24047,22789,22709,22405,18743,16721,1451,0,0,0,0,0,0,0,0,0
AUDI,AUDI A2,7_2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1160,2046,1877,2392,1938
AUDI,AUDI A3,7_3,15079,17396,22958,27935,34335,39145,38841,28775,26994,23030,27721,26633,24398,21098,19805,15652,8405,3665,2302,1492
